publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
Smithsonian Magazine,2017,0.33,1200.0,False,396.0,4.0,60,,,,All,Digital,,
Smithsonian Magazine,2016,0.17,1500.0,False,255.00000000000003,1.0,42,Feature,Heavy,Cold Pitch,First,Digital,No,
Smithsonian Magazine,2015,0.4,750.0,False,300.0,,,News,Medium,Cold Pitch,First,Digital,Yes,
Smithsonian Magazine,2013,1.39,700.0,False,972.9999999999999,,,News,,,,Digital,,
Smithsonian Magazine,2013,,,True,500.0,,,Feature,,,,Digital,,
Smithsonian Magazine,2013,,,,,,,FoB,,,,,,
Smithsonian Magazine,2013,0.75,800.0,False,600.0,,,,,,,Digital,,
Armenian Weekly,2017,0.09,800.0,False,72.0,1.0,30,News,Medium,Ongoing,All,Print,Verbal,
Armenian Weekly,2017,0.09,800.0,False,72.0,1.0,30,News,Medium,Cold Pitch,All,Digital,Verbal,
El Universo,2016,0.16,800.0,False,128.0,1.0,90,Opinion,Light,Referral,All,Digital,Verbal,
Exeunt Magazine,2018,0.1,1000.0,False,100.0,1.0,15,,,,Unknown/Other,Digital,,
Entrepreneur Magazine,2018,1.5,900.0,False,1350.0,1.0,30,FoB,Heavy,Assignment,All,Digital,Yes,"""For years, this magazine was one of the most freelancer-friendly in the industry. That has changed. While the print publication pays very quickly and still well by industry standards, the editorial tone and process is dramatically different, including the amount of editing hassles (rude editors insert mistakes or don't know/understand topic for which they assign/edit in first place) and last-minute copy changes the writer sees too late to correct. Perfectly good publication ruined by editor egos."""
Entrepreneur Magazine,2016,0.0,557.0,False,0.0,,,Profile,Medium,Cold Pitch,First,,Verbal,"""Remarkably poor communication from the editor led to my withdrawing the piece. He originally asked I write a profile. I asked about rates but didn't hear back before deadline, so I submitted anyway. Two weeks later & still no word as to whether it had even been received. After my second call to make the article hadn't gone into spam, the editor asked I change the profile to a top 10 list. I reminded him we still hadn't agreed on rates and he said Entrepreneur doesn't pay! Sure would have been nice to know before the 1st draft! Said no thanks & withdrew the piece."""
Entrepreneur Magazine,2016,0.0,1000.0,False,0.0,,15,,,,Unknown/Other,Digital,,
Boston Magazine,2013,,,,,,,Feature,,,,Print,,
Globein Blog,2018,0.07,800.0,False,56.00000000000001,5.0,Not Yet,Blog,Medium,Cold Pitch,Unknown/Other,Digital,Verbal,
Ploughshares,2017,0.02,900.0,False,18.0,2.0,42,Criticism,Light,Ongoing,First,Digital,Yes,
Xojane,2018,0.0,3000.0,False,0.0,,,,,,First,Digital,Yes,"""18 months later, and I still never received my measly compensation for my article.  Don't write for this publication."""
Xojane,2017,0.0,1100.0,False,0.0,,,Opinion,Light,Cold Pitch,Unknown/Other,Digital,,"""Was told I would be paid $30 for this post. I submitted a draft, and within 24 hours I saw that they published my blog, but I NEVER heard from them again. I resubmitted my invoice 4 times in the past 3 months. The contract clearly states a term of 45 days. Very frustrating and I would never write for this publication again."""
Xojane,2016,0.03,1500.0,False,45.0,4.0,>90,Opinion,Light,Cold Pitch,All,Digital,Yes,
Xojane,2016,0.07,750.0,False,52.50000000000001,,,Opinion,Light,Cold Pitch,,Digital,Yes,"""Quick response to pitch, quick turn around after submission, quick payment."""
Xojane,2016,0.0,750.0,False,0.0,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""Signed contract for $50 on publication, sent essay & images. Emailed a few days later to check in and was told my work must have been lost in an employee shuffle. Resent all documents. Tried emailing/tweeting several more times over the next 6 weeks to see if the editors got my work, but never received a response. The site has not published my work or contacted me at this time."""
Xojane,2016,0.0,750.0,False,0.0,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""XOJane never paid the promised $50, and cut off communication after I complained about the editing process."""
Xojane,2016,0.0,500.0,False,0.0,,,FoB,Light,Spec,Unknown/Other,Digital,Yes,
Xojane,2016,0.04,1200.0,False,48.0,2.0,30,Feature,Light,Referral,First,Digital,No,"""No idea what people are talking about when they say they have trouble getting paid. It was annoying filling out the digital paperwork (which is why I didn't give them the top rating) but I got paid about a month after they posted my piece. That's faster than other publications I have written for."""
Xojane,2015,0.2,750.0,False,150.0,,,Opinion,Light,Ongoing,,Digital,No,
Xojane,2015,0.07,750.0,False,52.50000000000001,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""Editor slow to respond, accounting department did not process payment paperwork the first time."""
Xojane,2015,0.03,1500.0,False,45.0,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""Easy process overall. Cold pitch, a week to write and submit. Editing took another week before the piece went onsite. I received payment via transfer to my bank account about 10 days later."""
Xojane,2015,0.03,1500.0,False,45.0,,,Opinion,Light,Ongoing,All,Digital,Yes,"""They usually pay 2-3 weeks after publishing, depending on when you submit your invoice and what week of the payment cycle they're on. Payment is always $50 per 1,000 - 1,500 word personal essay."""
Xojane,2015,0.07,750.0,False,52.50000000000001,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""Surprisingly little editing, no back and forth, piece published without any advance notice it would be going up. """
Xojane,2014,0.23,750.0,False,172.5,,,Opinion,Medium,Ongoing,All,Digital,Yes,
Xojane,2014,0.23,750.0,False,172.5,,,Opinion,Medium,Ongoing,All,Digital,Yes,"""I was a staff writer, publishing 3-4 articles per week."""
Xojane,2014,0.07,750.0,False,52.50000000000001,,,Opinion,Light,Ongoing,All,Digital,Yes,
Xojane,2014,0.07,750.0,False,52.50000000000001,,,News,Medium,Ongoing,All,Digital,Yes,"""Minimal editing. Timely payment/good system."""
Xojane,2014,0.13,1500.0,False,195.0,,,Opinion,Light,Cold Pitch,All,Digital,Yes,
Xojane,2014,0.07,750.0,False,52.50000000000001,,,Opinion,Light,Cold Pitch,Unknown/Other,Digital,Yes,"""Haven't been paid yet. """
Xojane,2013,,,True,50.0,,,Opinion,,,,,,
Xojane,2013,0.05,1050.0,False,52.5,,,News,,,,Digital,,
Xojane,2012,0.03,1500.0,False,45.0,,,Opinion,,,,Digital,,
Xojane,2012,,,True,50.0,,,Opinion,,,,,,
Xojane,2012,,,,,,,,,,,,,
Xojane,2012,0.04,1250.0,False,50.0,,,Feature,,,,,,"""""But I had to ask for it. I'd written for them before without payment, but once I asked it was no problem...Please, writers, advocate for yourselves or no one else will."""""
Chickpea Magazine,2016,0.1,1992.0,False,199.20000000000002,5.0,Not Yet,Profile,Heavy,Cold Pitch,Unknown/Other,Digital,Verbal,
Chickpea Magazine,2014,0.13,750.0,False,97.5,,,Opinion,Medium,Cold Pitch,First,Digital,Verbal,"""$0.10/word for all articles, $25 per recipe. (Each photo/illustration charged separately.) Negotiable rate for more experienced writers with an accepted pitch. Open call for proposals year-round."""
Indy Week,2016,0.15,2000.0,False,300.0,2.0,30,News,Heavy,Spec,First,Digital,Verbal,
Gluten Free Living,2017,0.35,1000.0,False,350.0,2.0,42,Feature,Medium,Cold Pitch,Unknown/Other,Print,No,
Nebraska Life,2017,0.0,500.0,False,0.0,,,FoB,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Terribly frustrating experience. Solicited idea and was immediately accepted. After submission, editor revised article to fit another angle, eliminating informative source quotes and specific information. Only 200 of 500 words were actually mine. Waste of time, especially as an unpaid gig to pad my fledgling portfolio. Untimely, unclear communication as well."""
Working Mother Magazine,2016,0.2,1500.0,False,300.0,,,Opinion,Light,Cold Pitch,All,Digital,Verbal,
Mother Jones,2012,,,,,,,News,,,,Print,,
Daily Yonder,2017,0.32,629.0,False,201.28,1.0,15,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,No,
Unwinnable,2016,0.01,500.0,False,5.0,2.0,30,Blog,Light,Ongoing,First,Print,Yes,
Daily Detroit,2016,0.05,500.0,False,25.0,1.0,30,,,,First,Digital,,
Learnvest,2018,0.83,600.0,False,498.0,2.0,42,FoB,Medium,Referral,First,Digital,No,
Learnvest,2018,0.63,800.0,False,504.0,2.0,42,FoB,Medium,Referral,All,Digital,No,
The Drive,2018,0.17,600.0,False,102.00000000000001,1.0,15,News,Light,Ongoing,Unknown/Other,Digital,Verbal,"""Extremely easy to work with. Invoice via PayPal."""
Vanity Fair,2017,0.3,996.0,False,298.8,1.0,15,Opinion,Light,Ongoing,All,Digital,Yes,
Vanity Fair,2013,2.0,225.0,False,450.0,,,,,,,,,
Lifehacker,2018,0.17,899.0,False,152.83,4.0,Not Yet,FoB,Medium,Assignment,All,Digital,Yes,
Lifehacker,2017,0.2,1000.0,False,200.0,1.0,30,,,,Unknown/Other,Digital,,
Home Business Magazine,2018,0.0,700.0,False,0.0,,,News,,,Unknown/Other,,Verbal,"""Editor replies upon inquiry asking for rates, then says rates are beyond their range but when asked for going rates says no work is assigned and all done in-house by salaried staff. Don't waste your time pitching here."""
Vh1,2017,0.15,1000.0,False,150.0,1.0,15,Blog,Light,Assignment,First,Print,Yes,
Vh1,2017,0.3,500.0,False,150.0,2.0,Not Yet,Blog,Medium,Referral,Unknown/Other,Digital,Yes,"""The editor was great to work with. It's still within the normal window for payment and, with how official they were with the paperwork, I expect to be paid in a timely manner."""
Yourteen,2016,0.1,500.0,False,50.0,3.0,Not Yet,Blog,Light,Cold Pitch,First,Digital,Yes,
Vulture,2017,0.25,1000.0,False,250.0,1.0,30,,,,All,Digital,,
Vulture,2016,0.15,1000.0,False,150.0,2.0,42,Criticism,Light,Assignment,Unknown/Other,Digital,Yes,
Vulture,2015,0.4,750.0,False,300.0,,,Criticism,Medium,Assignment,,Digital,,
Vulture,2013,,,True,150.0,,,Profile,,,,Digital,,
Vulture,2012,,,True,50.0,,,Blog,,,,,,
Vulture,2012,,,True,150.0,,,Feature,,,,,,
New Naratif,2018,0.2,1000.0,False,200.0,1.0,15,Feature,Medium,Ongoing,First,Digital,No,
The Daily Beast,2018,0.38,1200.0,False,456.0,1.0,30,News,Medium,Cold Pitch,All,Print,Yes,
The Daily Beast,2018,0.44,800.0,False,352.0,3.0,60,News,Medium,Solicited Pitch,All,Digital,Yes,
The Daily Beast,2018,0.18,2200.0,False,396.0,1.0,60,Opinion,Medium,Referral,All,Digital,Yes,
The Daily Beast,2018,0.35,1000.0,False,350.0,1.0,42,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
The Daily Beast,2018,0.5,400.0,False,200.0,4.0,Not Yet,Blog,Light,Ongoing,All,Digital,Yes,
The Daily Beast,2018,0.33,1500.0,False,495.0,2.0,30,,Medium,Referral,First,Digital,Yes,
The Daily Beast,2017,0.32,1100.0,False,352.0,2.0,15,Feature,Medium,Cold Pitch,First,Digital,No,
The Daily Beast,2017,0.41,985.0,False,403.84999999999997,1.0,30,News,Medium,Ongoing,All,Digital,Yes,
The Daily Beast,2017,0.22,1144.0,False,251.68,1.0,Not Yet,News,Heavy,Ongoing,Unknown/Other,Digital,Yes,
The Daily Beast,2017,0.57,700.0,False,398.99999999999994,3.0,Not Yet,Blog,Medium,Assignment,Unknown/Other,Digital,Yes,
The Daily Beast,2017,0.0,900.0,False,0.0,,Not Yet,Feature,Heavy,Solicited Pitch,First,Digital,No,
The Daily Beast,2017,0.17,1156.0,False,196.52,1.0,30,News,Heavy,Solicited Pitch,First,Digital,Yes,
The Daily Beast,2016,0.2,1500.0,False,300.0,1.0,30,,,,All,Digital,,
The Daily Beast,2016,0.25,1200.0,False,300.0,1.0,30,Opinion,Medium,Ongoing,First,Digital,No,
The Daily Beast,2014,0.67,750.0,False,502.50000000000006,,,News,Medium,Solicited Pitch,First,Digital,Yes,"""Pays after 45 days of publication, direct deposit. Arrived after 55 days. Was offered $500 for first piece and then signed contract stating that ongoing rate, which has also applied to articles written since.
Very respectful editors and staff that treat writers well."""
The Daily Beast,2014,0.3,1500.0,False,450.0,,,News,Heavy,Ongoing,First,Digital,Yes,
The Daily Beast,2013,0.47,750.0,False,352.5,,,Criticism,Medium,Ongoing,All,Digital,Yes,
The Daily Beast,2013,0.23,1500.0,False,345.0,,,Feature,,,,,,"""but if you are one of their top people, they pay $500 per piece. How much time it takes/how intensive it is, varies."""
The Daily Beast,2013,,,True,275.0,,,Feature,,,,,,
The Daily Beast,2013,,,True,50.0,,,,,,,,,
The Daily Beast,2013,,,True,300.0,,,Feature,,,,,,
Dujour,2016,1.0,700.0,False,700.0,2.0,90,Opinion,Medium,Assignment,First,Print,Yes,
Intransit,2017,0.03,1560.0,False,46.8,2.0,15,Opinion,Light,Solicited Pitch,First,Digital,No,"""They are extremely new (as in only have been around for few months) and editors are currently paying writers with personal funds. Was told that rates would increase in time, but wasn't too worried about it for an easy essay."""
The New European,2017,0.25,1000.0,False,250.0,2.0,42,Opinion,,,First,Print,,
Daily Mail,2016,0.88,600.0,False,528.0,3.0,60,Profile,Medium,,All,,Yes,"""An event happened in Canada and I found out through a colleague that Daily Mail wanted info on the story. I found a unique story angle through an interview with someone involved in the event. I cold called them and sold them the interview transcript, the person's contact info and some notes from the field. One of their UK reporters followed up with contacts and wrote the story. I asked them to include me in the byline but they didn't."""
Daily Mail,2014,1.87,1500.0,False,2805.0,,,Opinion,Light,Ongoing,All,Digital,No,
Fender,2017,0.33,750.0,False,247.5,5.0,Not Yet,Profile,Medium,Assignment,First,Digital,Yes,"""Been trying very politely to extract payment for the 3 months since the 90 days in which I was supposed to get paid. In the meantime, the soliciting editor was fired & replacement is unresponsive. Never reported a publication for this before."""
Blavity,2017,0.07,1000.0,False,70.0,1.0,30,Opinion,Light,Ongoing,First,Digital,No,
Interview Magazine,2016,0.02,1000.0,False,20.0,4.0,Not Yet,Profile,Medium,Cold Pitch,All,Digital,Verbal,"""The editor I cold pitched was nice, but despite chasing I still haven't seen payment."""
Interview Magazine,2016,0.01,1800.0,False,18.0,4.0,Not Yet,Profile,Medium,Ongoing,All,Digital,No,"""Despite chasing the accounts department and being promised payment, I have yet to receive a check."""
Interview Magazine,2013,,,True,25.0,,,Profile,,,,,,
"Ttg Asia (Travel Trade Gazette Asia), Singapore",2017,0.0,600.0,False,0.0,,,News,Medium,Cold Pitch,Unknown/Other,Digital,Verbal,"""Pitched a few story ideas, was assigned one. Did interviewing, writing, sent it in. Never able to rouse response from 2 editors. Needless to say: STAY AWAY!"""
Chap Magazine,2018,0.07,1000.0,False,70.0,2.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Print,No,
Chap Magazine,2018,0.09,700.0,False,63.0,3.0,>90,Criticism,Medium,Referral,Unknown/Other,Print,No,
The Bold Italic,2018,0.04,1200.0,False,48.0,2.0,30,Opinion,Light,Cold Pitch,All,Digital,Yes,
The Bold Italic,2018,0.03,1800.0,False,54.0,2.0,30,Feature,Light,Solicited Pitch,All,Digital,Yes,
The Bold Italic,2018,0.07,700.0,False,49.00000000000001,3.0,60,Blog,Light,Assignment,All,Digital,Yes,"""Editor changed their mind a lot about the edits which resulted in more work than expected, and the publication usually takes a while to get back to about payment, around 2-3 months."""
The Bold Italic,2017,0.06,800.0,False,48.0,2.0,30,FoB,Medium,Referral,Unknown/Other,Digital,Yes,
The Bold Italic,2015,0.1,750.0,False,75.0,,,Criticism,Medium,Cold Pitch,All,Digital,Yes,"""They initially offered $50 for an 800-word piece which I considered very low. I didn't want to risk losing the deal as this would be my first article with them, so I only bumped it up to $80 and they responded with $75."""
The Bold Italic,2013,0.19,1600.0,False,304.0,,,Feature,,,,Digital,,
The Bold Italic,2013,0.19,800.0,False,152.0,,,News,,,,Digital,,
The Bold Italic,2013,,,True,300.0,,,,,,,,,"""""I was given a rate of $150-300, but i heard from another editor that I was 'low-balled' and that many writeres with bigger rep than mine are paid considerably more"""""
Sojourners,2017,0.38,800.0,False,304.0,2.0,15,Feature,Medium,Referral,All,Digital,Verbal,
Gnome Magazine,2015,0.13,750.0,False,97.5,,,News,Medium,Cold Pitch,First,Digital,No,"""Very quick in payment. very cordial and professional."""
The American Genius,2017,0.01,800.0,False,8.0,1.0,30,Feature,Medium,Ongoing,All,Digital,Yes,
Jackson Free Press,2014,0.03,750.0,False,22.5,,,Criticism,Light,Ongoing,First,Digital,Yes,
Dance International,2018,0.12,700.0,False,84.0,1.0,30,Profile,Medium,Ongoing,All,Print,No,
News & Observer,2017,0.28,900.0,False,252.00000000000003,1.0,15,News,Heavy,Assignment,All,Digital,Yes,
Crosscut,2016,0.25,1000.0,False,250.0,1.0,30,News,Medium,Cold Pitch,Unknown/Other,Digital,No,
Crosscut,2016,0.12,1666.0,False,199.92,3.0,Not Yet,News,Heavy,Cold Pitch,Unknown/Other,Digital,Verbal,
Crosscut,2015,0.17,750.0,False,127.50000000000001,,,News,Medium,Ongoing,,Digital,Verbal,
Hopes And Fears,2015,0.11,1500.0,False,165.0,,,Profile,,,,Digital,No,
Hudson Reporter,2015,0.07,750.0,False,52.50000000000001,,,Criticism,Medium,Assignment,All,Print,Verbal,"""All flat rates: bewspaper features $50; magazine pieces $100. Hudson County New Jersey events only."""
Sunset,2018,1.25,1200.0,False,1500.0,4.0,Not Yet,Opinion,Light,Cold Pitch,Unknown/Other,Print,Yes,
Sunset,2018,1.25,2000.0,False,2500.0,5.0,Not Yet,Feature,Medium,Ongoing,Unknown/Other,Print,Verbal,"""Sunset has run into some financial/mgmt issues since being bought by Regent LP private equity firm. I've worked with them (writing and shooting) for years and they always paid within 30 days. Now I've one invoice thats three months overdue and three others a month overdue. Troubling part is, there's little to no recourse since most of editors have turned over, including EIC. Regent accounts payable is unresponsive to my inquiries. So just a note of caution about Sunset right now..."""
Sunset,2017,1.0,500.0,False,500.0,2.0,30,FoB,Medium,Ongoing,All,Print,Yes,"""A lot of turnover in the editorial department over the past few years, leading to frustrating gaps in communication, delays in contracts, rate cuts, and other issues."""
Sunset,2017,1.5,700.0,False,1050.0,5.0,Not Yet,FoB,Medium,Cold Pitch,First,Print,Yes,"""Notoriously freelancer unfriendly as ever-rotating cast of editors will repurpose and even reassign content and then not pay the original writer. Trying to work for this publication ranks among the most unprofessional experiences of my career."""
Sunset,2016,1.5,1000.0,False,1500.0,5.0,Not Yet,FoB,Heavy,Cold Pitch,First,Print,Yes,"""Inconsistent and unprofessional follow-up and follow-through from ever-changing editor(s) in charge. After months of non-communication, tried to renege on contract and payment. Rarely encountered such a chaos-ridden, freelancer-unfriendly publication."""
Rogue Valley Messenger,2018,0.1,700.0,False,70.0,5.0,90,Feature,Medium,Ongoing,All,Digital,No,"""Consistent problems with pay not arriving on time and paychecks being inaccurate. At times the rates the publication would pay the writer would change and the editors would not communicate this with the writers so you would have no idea why your check was missing money."""
Ted Blog,2013,,,True,200.0,,,,,,,,,
The Paris Review,2017,0.1,1500.0,False,150.0,1.0,15,Criticism,Medium,Ongoing,First,Digital,Yes,
The Paris Review,2015,0.07,1500.0,False,105.00000000000001,,,Criticism,Medium,Assignment,,Digital,Yes,"""Great edit. Took me months to get them to pay."""
The Paris Review,2014,0.03,3000.0,False,90.0,,,Opinion,Light,Spec,First,Digital,Yes,"""Still chasing them for that $100 three months later.  Great edit, though."""
The Paris Review,2013,,,True,100.0,,,Opinion,,,,,,
The Paris Review,2013,,,True,100.0,,,Blog,,,,Digital,,
The Paris Review,2013,,,True,100.0,,,Blog,,,,Digital,,"""$100 flat fee"""
The Paris Review,2012,,,True,100.0,,,Blog,,,,,,
The Paris Review,2012,0.08,1200.0,False,96.0,,,Opinion,,,,Digital,,"""""payment usually prompt"""""
Garage (Vice),2018,0.55,1100.0,False,605.0,3.0,90,Feature,Light,Assignment,All,Digital,Verbal,"""Based on something I'd written elsewhere, the editors there asked me to do a similar piece for them, which meant minimal reporting for me. They originally offered 50 cents per word. We agreed on 60 cents at 1,000 words and I filed a little over 1,100."""
Purewow,2017,0.4,250.0,False,100.0,4.0,60,Blog,Light,Cold Pitch,Unknown/Other,Digital,Yes,
Culture Trip,2018,0.03,1000.0,False,30.0,2.0,30,Blog,Medium,Ongoing,Unknown/Other,Digital,Yes,
Culture Trip,2017,0.05,1000.0,False,50.0,1.0,30,Blog,Light,Ongoing,Unknown/Other,Digital,Yes,
Indianapolis Star,2018,0.15,1000.0,False,150.0,1.0,Not Yet,Opinion,Light,Solicited Pitch,Secondary,Digital,No,
New Hampshire Business Review,2016,0.35,431.0,False,150.85,3.0,60,Profile,Medium,Ongoing,All,Digital,No,
Stat,2016,1.0,600.0,False,600.0,1.0,15,News,Medium,Ongoing,Unknown/Other,Digital,Yes,"""They've recently changed their rates: 
* stories of 600 to 800 words -- $600
* stories of 800 to 1,000 words -- $700
* stories of 1,000 to 1,200 words -- $850
* stories of 1,200 to 1,500 words -- $1,000
* stories of 1,500 to 2,000 words -- $1,400"""
Stat,2016,0.83,600.0,False,498.0,1.0,15,News,Medium,Cold Pitch,Unknown/Other,Digital,Yes,"""Awesome experience."""
Stat,2016,1.0,900.0,False,900.0,1.0,15,News,Medium,Referral,Unknown/Other,Digital,Yes,"""I was paid $1 a word. Story came out slightly less than assigned length. Great experience."""
Realsimple.com,2018,0.1,1000.0,False,100.0,3.0,Not Yet,,Light,Ongoing,Unknown/Other,Digital,No,
Planning Magazine,2015,1.04,375.0,False,390.0,,,News,Medium,Ongoing,All,Digital,Yes,"""Editors are extremely easy to work with. Pub doesn't pay great _ 50 cents a word for most stories - but they pay on time every time. Been working with them for years. """
The Root,2017,0.2,1000.0,False,200.0,1.0,15,Opinion,Light,Cold Pitch,All,Digital,No,
The Root,2017,0.25,800.0,False,200.0,3.0,30,Opinion,Medium,Cold Pitch,First,Digital,Yes,
Fightland,2017,0.05,1000.0,False,50.0,3.0,90,Feature,,,All,Digital,,
Policy Mic,2016,0.21,1200.0,False,252.0,1.0,15,,,,First,Digital,,
Policy Mic,2016,0.17,900.0,False,153.0,1.0,15,Criticism,Light,Referral,Unknown/Other,Digital,Yes,
Policy Mic,2014,0.04,750.0,False,30.0,,,Opinion,Light,Ongoing,,Digital,Yes,
Policy Mic,2014,0.1,750.0,False,75.0,,,News,Medium,Assignment,All,Digital,Verbal,"""NOTE: I actually turned down the assignment. But this was the pay rate and word count for the assignment."""
Boston Review,2013,,,True,250.0,,,,,Cold Pitch,,Digital,,
The Fix,2018,0.13,1000.0,False,130.0,1.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,
The Fix,2018,0.13,1200.0,False,156.0,1.0,30,Opinion,Medium,Ongoing,First,Digital,Yes,
The Fix,2018,0.11,1150.0,False,126.5,1.0,Not Yet,Criticism,Light,Ongoing,First,Digital,Yes,
The Fix,2017,0.2,1500.0,False,300.0,1.0,15,,,,First,Digital,,
The Fix,2017,0.11,1100.0,False,121.0,1.0,Not Yet,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
The Fix,2017,0.14,900.0,False,126.00000000000001,2.0,Not Yet,Opinion,Medium,Cold Pitch,First,Print,Yes,
The Fix,2017,0.1,1000.0,False,100.0,2.0,30,,,,First,Print,,
The Fix,2017,0.17,1200.0,False,204.00000000000003,1.0,15,News,Medium,Cold Pitch,Unknown/Other,Digital,Yes,"""I was paid before the piece was published, which almost never happens as a freelancer. I would be happy to write for them again."""
The Fix,2017,0.1,1200.0,False,120.0,1.0,15,Opinion,Light,Cold Pitch,Unknown/Other,Digital,,
The Fix,2017,0.2,1000.0,False,200.0,1.0,30,News,Medium,Cold Pitch,First,Digital,No,"""Literally almost no edits."""
The Fix,2016,0.17,1500.0,False,255.00000000000003,1.0,15,Opinion,Medium,Cold Pitch,All,Digital,Yes,"""Actually received payment upon receipt of story,  not publication."""
The Fix,2015,0.2,1500.0,False,300.0,,,Opinion,Light,Cold Pitch,All,Digital,Yes,"""Took some nudging to get paid, but they came through. """
Ligiddy.com,2015,0.11,375.0,False,41.25,,,Opinion,Light,Cold Pitch,All,Digital,No,
Kiwi Magazine,2013,0.83,600.0,False,498.0,,,,,,,,,
Tablet Magazine,2018,0.11,1400.0,False,154.0,3.0,60,Feature,Medium,Referral,Unknown/Other,Digital,Yes,"""I negotiated the rate up to $150 from $100 offered."""
Tablet Magazine,2018,0.25,1000.0,False,250.0,1.0,Not Yet,Opinion,Light,Cold Pitch,All,Digital,No,"""Was published in The Scroll. Negotiated higher rate than initially offered."""
Tablet Magazine,2018,0.17,1600.0,False,272.0,1.0,15,Feature,Medium,Referral,First,Digital,Yes,
Tablet Magazine,2015,0.27,1500.0,False,405.0,,,Profile,Medium,Cold Pitch,,Digital,Yes,"""Easy to work with, great edits"""
Tablet Magazine,2015,0.1,750.0,False,75.0,,,Profile,Medium,Referral,All,Digital,Verbal,"""Had contract after piece was submitted """
Tablet Magazine,2014,0.3,1500.0,False,450.0,,,Opinion,Light,Spec,First,Digital,Yes,
Tablet Magazine,2014,0.33,3000.0,False,990.0,,,Feature,Heavy,Ongoing,First,Digital,Yes,"""Heavy editing and rewriting, much back and forth with editor"""
Tablet Magazine,2014,0.33,3000.0,False,990.0,,,Feature,Heavy,Ongoing,First,Digital,Yes,
Tablet Magazine,2013,0.27,1500.0,False,405.0,,,Opinion,,,,,,"""An assignment, not a pitch."""
Tablet Magazine,2013,0.4,1000.0,False,400.0,,,Feature,,,,,,
Daily Telegraph,2018,0.35,750.0,False,262.5,1.0,15,News,Medium,Ongoing,All,Digital,No,
Daily Telegraph,2018,0.4,700.0,False,280.0,2.0,42,News,Medium,Cold Pitch,Unknown/Other,Print,Verbal,"""Professional editorial and accounts team, 40 day settlement of invoice."""
Daily Telegraph,2018,0.14,650.0,False,91.00000000000001,1.0,30,Criticism,,,Unknown/Other,Digital,,"""Flat rate for hotel reviews. Pays promptly."""
Women's Health,2018,0.13,1200.0,False,156.0,5.0,Not Yet,News,Medium,Ongoing,All,Digital,Yes,"""Really awful experience. Would not recommend."""
Women's Health,2016,0.67,1500.0,False,1005.0000000000001,,,Profile,Medium,Cold Pitch,First,Digital,No,"""I ended up going with another publication but was given a firm offer of $1 per word for 1,000 words."""
Women's Health,2013,,,,,,,,,,,Print,,
Alternet (2nd Rights),2013,0.03,3700.0,False,111.0,,,Feature,,,,Digital,,
Green Parent,2018,0.11,1000.0,False,110.0,1.0,15,Feature,Light,Cold Pitch,First,Print,No,
Green Parent,2015,0.05,3000.0,False,150.0,,,Feature,Light,Assignment,Secondary,Print,Verbal,
Rare,2014,0.13,375.0,False,48.75,,,News,Light,Ongoing,First,Digital,No,
Carolina Parent,2017,0.15,647.0,False,97.05,1.0,90,Opinion,Light,Cold Pitch,First,Print,Yes,
Rewire News,2018,0.03,1593.0,False,47.79,2.0,30,Opinion,Light,Ongoing,Unknown/Other,Digital,Yes,"""Published on Religion Dispatches Vertical."""
Rewire News,2018,0.14,2500.0,False,350.00000000000006,2.0,60,News,Heavy,Ongoing,First,Digital,Yes,
Rewire News,2017,0.28,900.0,False,252.00000000000003,3.0,Not Yet,News,Medium,Cold Pitch,First,Print,Yes,
Rewire News,2017,0.25,1200.0,False,300.0,1.0,15,Feature,Medium,Referral,All,Digital,Yes,
Rewire News,2017,0.13,1200.0,False,156.0,1.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,No,
Zdnet,2017,0.3,500.0,False,150.0,2.0,60,News,Medium,Referral,All,Digital,Yes,
Classical Magazine,2014,0.03,3000.0,False,90.0,,,Criticism,Light,Ongoing,First,Digital,Verbal,
Image,2016,0.02,5000.0,False,100.0,,,Opinion,Light,Cold Pitch,First,Digital,Yes,
Forbes,2016,2.0,3000.0,False,6000.0,2.0,30,Profile,Heavy,Ongoing,All,Print,Yes,
The Muse,2018,0.19,800.0,False,152.0,2.0,60,Feature,Light,Ongoing,Unknown/Other,Digital,Yes,
Sonoma Magazine,2018,1.0,800.0,False,800.0,2.0,15,,Medium,Ongoing,Unknown/Other,Digital,Yes,
Sonoma Magazine,2017,1.0,250.0,False,250.0,1.0,30,,,,All,Digital,,
