comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""No one gets paid as far as I know.""",Contract: ,,,,,ng-hide,,Bookslut,,Rights: ,,,2012
,Contract: No,$0.18,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: print,Kerrang!,Assignment (editor came to you),Rights: All rights,"opinion, editorial, column or essay",500,2017
,"Contract: Verbal or ""handshake"" agreement",$0.19,False,Medium reporting,Paid in 1 month ,svg-2,Platform: print,Kerrang!,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",160,2016
,Contract: Yes,$0.04,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Scalawag,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,profile or interview,1200,2018
,Contract: Yes,$0.25,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Scalawag,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,2000,2018
"""Payment was never discussed (which was also the case with prior work with them). Submissions take time (months) to appear, even when commissioned. An ideal publication to work with.""",Contract: No,$0.47,False,Medium reporting,,ng-hide,Platform: digital,London Review Of Books,Assignment (editor came to you),Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~3000,2013
,Contract: ,$0.42,False,,,ng-hide,,London Review Of Books,,Rights: ,feature,2600,2013
,Contract: Yes,$0.27,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Memphis Magazine,Assignment (editor came to you),Rights: First Serial Rights,fob,1500,2018
"""$2 a word; easy to work with. """,Contract: Yes,$1.60,False,Medium reporting,,ng-hide,Platform: print,Fitness,Ongoing/pre-existing relationship with editor or publication,Rights: ,feature,~1500,2014
,"Contract: Verbal or ""handshake"" agreement",$0.13,False,Medium reporting,,ng-hide,Platform: digital,Dj Tech Tools,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~750,2015
"""Excellent developmental editing but little-to-no copyediting.""","Contract: Verbal or ""handshake"" agreement",$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Ribbonfarm,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",2200,2016
,Contract: ,$75,True,,,ng-hide,,Lucky Magazine,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,$0.00,False,,,svg-false,Platform: digital,Rookie Mag,,Rights: First Serial Rights,,300-word,2018
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Rookie Mag,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,poetry,300,2017
,"Contract: Verbal or ""handshake"" agreement",$0.01,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Rookie Mag,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,2000,2017
,Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-3,Platform: digital,Rookie Mag,Solicited pitch (editor asked you to pitch),Rights: All rights,"opinion, editorial, column or essay",1200,2016
"""A really good experience""",Contract: Yes,$0.05,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Rookie Mag,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",1135,2016
,Contract: ,$0.04,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Rookie Mag,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,profile or interview,1400,2016
,Contract: Yes,$0.13,False,Ongoing/pre-existing relationship with editor or publication,,ng-hide,Platform: digital,Kinfolk Magazine,,Rights: All rights,profile or interview,~750,2015
"""They liked my pitch, but said they do not pay freelancers, and if I wanted to be compensated, I would have to write elsewhere. """,Contract: No,$0.00,False,Cold pitch (no pre-existing relationship),,ng-hide,Platform: digital,Ecowatch,,Rights: ,news story,~375,2013
,"Contract: Verbal or ""handshake"" agreement",$0.44,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Extra Crispy,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,900,2018
,Contract: No,$0.50,False,Little to no reporting,Longer than 3 months ,svg-4,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,500,2017
,Contract: Yes,$0.50,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,Extra Crispy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,800,2017
,Contract: Yes,$0.50,False,Little to no reporting,Longer than 3 months ,svg-4,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",800,2017
,Contract: Yes,$0.40,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,"Contract: Verbal or ""handshake"" agreement",$0.50,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Extra Crispy,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,800,2017
,Contract: Yes,$0.40,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Extra Crispy,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2016
,Contract: Yes,$0.50,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Extra Crispy,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,800,2016
,Contract: Yes,$0.50,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Extra Crispy,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,feature,1500,2016
,Contract: ,$0.38,False,,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Extra Crispy,,Rights: Other / I don't know,,800-word,2016
,Contract: Yes,$0.10,False,Submission/spec (piece was written prior and then submitted for publication),Paid in 15 days ,svg-1,Platform: digital,Gamut,,Rights: First Serial Rights,fiction,1500,2017
,Contract: Yes,$0.19,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Gamut,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,poetry,135,2017
,Contract: Yes,$0.10,False,Submission/spec (piece was written prior and then submitted for publication),Paid in 15 days ,svg-1,Platform: digital,Gamut,,Rights: First Serial Rights,fiction,3000,2017
"""Pretty good pay for the amount of work. Finding quotes is sort of fun.""",Contract: No,$0.11,False,Little to no reporting,,ng-hide,Platform: digital,Http://www.curatedquotes.com,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,fob,~375,2014
"""Smithsonian website pays anywhere from $200 to $400 for news stories and Q&As and the like. Worked for them for years and could rarely negotiate a better rate once an editor made an offer/assignment. Editor typically sends at least one round of edits, no matter what. And once an editor outright told me a story I pitched was the sort of thing they'd just assign in-house and skip over the freelancer. That single strange and unprofessional exchange aside, working for the website editors is often a pleasant enough experience. But for mid- or later-career journalists, the time and money doesn't seem to worth it to work for the digital arm unless you have a story you are dying to write or can learn to manage an editor's expectations to cut down on endless edits. Print assignments are harder to come by but worth the actual work involved because the pay is so much better.""",Contract: ,$0.20,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Smithsonian Magazine,Assignment (editor came to you),Rights: Other / I don't know,profile or interview,1000,2019
,"Contract: Verbal or ""handshake"" agreement",$0.25,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Smithsonian Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1200,2017
"""Accepted this rate before I saw what others are making with this magazine.""",Contract: Yes,$0.27,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Smithsonian Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1500,2017
,Contract: ,$0.33,False,,Paid in 2 months ,svg-4,Platform: digital,Smithsonian Magazine,,Rights: All rights,,1200-word,2017
,Contract: No,$0.17,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-1,Platform: digital,Smithsonian Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1500,2016
,Contract: Yes,$0.40,False,Medium reporting,,ng-hide,Platform: digital,Smithsonian Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,~750,2015
,Contract: ,$1.39,False,,,ng-hide,Platform: digital,Smithsonian Magazine,,Rights: ,news story,700,2013
,Contract: ,$500,True,,,ng-hide,Platform: digital,Smithsonian Magazine,,Rights: ,, feature,2013
,Contract: ,,,,,ng-hide,,Smithsonian Magazine,,Rights: ,, fob,2013
,Contract: ,$0.75,False,,,ng-hide,Platform: digital,Smithsonian Magazine,,Rights: ,,800-word,2013
,"Contract: Verbal or ""handshake"" agreement",$0.09,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Armenian Weekly,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,800,2017
,"Contract: Verbal or ""handshake"" agreement",$0.09,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Armenian Weekly,Cold pitch (no pre-existing relationship),Rights: All rights,news story,800,2017
,"Contract: Verbal or ""handshake"" agreement",$0.16,False,Little to no reporting,Paid in 3 months ,svg-1,Platform: digital,El Universo,Referral (you had a connection who connected you to the editor),Rights: All rights,"opinion, editorial, column or essay",800,2016
,Contract: ,$0.10,False,,Paid in 15 days ,svg-1,Platform: digital,Exeunt Magazine,,Rights: Other / I don't know,,1000-word,2018
"""For years, this magazine was one of the most freelancer-friendly in the industry. That has changed. While the print publication pays very quickly and still well by industry standards, the editorial tone and process is dramatically different, including the amount of editing hassles (rude editors insert mistakes or don't know/understand topic for which they assign/edit in first place) and last-minute copy changes the writer sees too late to correct. Perfectly good publication ruined by editor egos.""",Contract: Yes,$1.50,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Entrepreneur Magazine,Assignment (editor came to you),Rights: All rights,fob,900,2018
"""Remarkably poor communication from the editor led to my withdrawing the piece. He originally asked I write a profile. I asked about rates but didn't hear back before deadline, so I submitted anyway. Two weeks later & still no word as to whether it had even been received. After my second call to make the article hadn't gone into spam, the editor asked I change the profile to a top 10 list. I reminded him we still hadn't agreed on rates and he said Entrepreneur doesn't pay! Sure would have been nice to know before the 1st draft! Said no thanks & withdrew the piece.""","Contract: Verbal or ""handshake"" agreement",$0.00,False,Medium reporting,,svg-false,Platform: other,Entrepreneur Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,557,2016
,Contract: ,$0.00,False,,Paid in 15 days ,svg-false,Platform: digital,Entrepreneur Magazine,,Rights: Other / I don't know,,1000-word,2016
,Contract: ,,,,,ng-hide,Platform: print,Boston Magazine,,Rights: ,, feature,2013
,"Contract: Verbal or ""handshake"" agreement",$0.07,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Globein Blog,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,800,2018
,Contract: Yes,$0.02,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Ploughshares,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",900,2017
"""18 months later, and I still never received my measly compensation for my article.  Don't write for this publication.""",Contract: Yes,$0.00,False,,,svg-false,Platform: digital,Xojane,,Rights: First Serial Rights,,3000-word,2018
"""Was told I would be paid $30 for this post. I submitted a draft, and within 24 hours I saw that they published my blog, but I NEVER heard from them again. I resubmitted my invoice 4 times in the past 3 months. The contract clearly states a term of 45 days. Very frustrating and I would never write for this publication again.""",Contract: ,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1100,2017
,Contract: Yes,$0.03,False,Little to no reporting,Longer than 3 months ,svg-4,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1500,2016
"""Quick response to pitch, quick turn around after submission, quick payment.""",Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: ,"opinion, editorial, column or essay",~750,2016
"""Signed contract for $50 on publication, sent essay & images. Emailed a few days later to check in and was told my work must have been lost in an employee shuffle. Resent all documents. Tried emailing/tweeting several more times over the next 6 weeks to see if the editors got my work, but never received a response. The site has not published my work or contacted me at this time.""",Contract: Yes,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2016
"""XOJane never paid the promised $50, and cut off communication after I complained about the editing process.""",Contract: Yes,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2016
,Contract: Yes,$0.00,False,Little to no reporting,,svg-false,Platform: digital,Xojane,Submission/spec (piece was written prior and then submitted for publication),Rights: Other / I don't know,fob,500,2016
"""No idea what people are talking about when they say they have trouble getting paid. It was annoying filling out the digital paperwork (which is why I didn't give them the top rating) but I got paid about a month after they posted my piece. That's faster than other publications I have written for.""",Contract: No,$0.04,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: digital,Xojane,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,feature,1200,2016
,Contract: No,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Ongoing/pre-existing relationship with editor or publication,Rights: ,"opinion, editorial, column or essay",~750,2015
"""Editor slow to respond, accounting department did not process payment paperwork the first time.""",Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2015
"""Easy process overall. Cold pitch, a week to write and submit. Editing took another week before the piece went onsite. I received payment via transfer to my bank account about 10 days later.""",Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~1500,2015
"""They usually pay 2-3 weeks after publishing, depending on when you submit your invoice and what week of the payment cycle they're on. Payment is always $50 per 1,000 - 1,500 word personal essay.""",Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",~1500,2015
"""Surprisingly little editing, no back and forth, piece published without any advance notice it would be going up. """,Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~750,2015
,Contract: Yes,$0.23,False,Medium reporting,,ng-hide,Platform: digital,Xojane,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",~750,2014
"""I was a staff writer, publishing 3-4 articles per week.""",Contract: Yes,$0.23,False,Medium reporting,,ng-hide,Platform: digital,Xojane,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",~750,2014
,Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",~750,2014
"""Minimal editing. Timely payment/good system.""",Contract: Yes,$0.07,False,Medium reporting,,ng-hide,Platform: digital,Xojane,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,~750,2014
,Contract: Yes,$0.13,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~1500,2014
"""Haven't been paid yet. """,Contract: Yes,$0.07,False,Little to no reporting,,ng-hide,Platform: digital,Xojane,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",~750,2014
,Contract: ,$50,True,,,ng-hide,,Xojane,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,$0.05,False,,,ng-hide,Platform: digital,Xojane,,Rights: ,news story,~1050,2013
,Contract: ,$0.03,False,,,ng-hide,Platform: digital,Xojane,,Rights: ,"opinion, editorial, column or essay",~1500,2012
,Contract: ,$50,True,,,ng-hide,,Xojane,,Rights: ,," opinion, editorial, column or essay",2012
,Contract: ,,,,,ng-hide,,Xojane,,Rights: ,,,2012
"""""But I had to ask for it. I'd written for them before without payment, but once I asked it was no problem...Please, writers, advocate for yourselves or no one else will.""""",Contract: ,$0.04,False,,,ng-hide,,Xojane,,Rights: ,feature,~1250,2012
,"Contract: Verbal or ""handshake"" agreement",$0.10,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Chickpea Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,1992,2016
"""$0.10/word for all articles, $25 per recipe. (Each photo/illustration charged separately.) Negotiable rate for more experienced writers with an accepted pitch. Open call for proposals year-round.""","Contract: Verbal or ""handshake"" agreement",$0.13,False,Medium reporting,,ng-hide,Platform: digital,Chickpea Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
,"Contract: Verbal or ""handshake"" agreement",$0.15,False,Heavy/Investigative reporting,Paid in 1 month ,svg-2,Platform: digital,Indy Week,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,news story,2000,2016
,Contract: No,$0.35,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: print,Gluten Free Living,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1000,2017
"""Terribly frustrating experience. Solicited idea and was immediately accepted. After submission, editor revised article to fit another angle, eliminating informative source quotes and specific information. Only 200 of 500 words were actually mine. Waste of time, especially as an unpaid gig to pad my fledgling portfolio. Untimely, unclear communication as well.""",Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,Nebraska Life,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,500,2017
,"Contract: Verbal or ""handshake"" agreement",$0.20,False,Little to no reporting,,ng-hide,Platform: digital,Working Mother Magazine,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",~1500,2016
,Contract: ,,,,,ng-hide,Platform: print,Mother Jones,,Rights: ,, news story,2012
,Contract: No,$0.32,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,Daily Yonder,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,629,2017
,Contract: Yes,$0.01,False,Little to no reporting,Paid in 1 month ,svg-2,Platform: print,Unwinnable,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,blog post,500,2016
,Contract: ,$0.05,False,,Paid in 1 month ,svg-1,Platform: digital,Daily Detroit,,Rights: First Serial Rights,,500-word,2016
,Contract: No,$0.83,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Learnvest,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,fob,600,2018
,Contract: No,$0.63,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Learnvest,Referral (you had a connection who connected you to the editor),Rights: All rights,fob,800,2018
"""Extremely easy to work with. Invoice via PayPal.""","Contract: Verbal or ""handshake"" agreement",$0.17,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,The Drive,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,600,2018
,Contract: Yes,$0.30,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Vanity Fair,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",996,2017
,Contract: ,$2.00,False,,,ng-hide,,Vanity Fair,,Rights: ,,~225-word,2013
,Contract: Yes,$0.17,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Lifehacker,Assignment (editor came to you),Rights: All rights,fob,899,2018
,Contract: ,$0.20,False,,Paid in 1 month ,svg-1,Platform: digital,Lifehacker,,Rights: Other / I don't know,,1000-word,2017
"""Editor replies upon inquiry asking for rates, then says rates are beyond their range but when asked for going rates says no work is assigned and all done in-house by salaried staff. Don't waste your time pitching here.""","Contract: Verbal or ""handshake"" agreement",$0.00,False,,,svg-false,Platform: other,Home Business Magazine,,Rights: Other / I don't know,news story,700,2018
,Contract: Yes,$0.15,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: print,Vh1,Assignment (editor came to you),Rights: First Serial Rights,blog post,1000,2017
"""The editor was great to work with. It's still within the normal window for payment and, with how official they were with the paperwork, I expect to be paid in a timely manner.""",Contract: Yes,$0.30,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Vh1,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,blog post,500,2017
,Contract: Yes,$0.10,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Yourteen,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,500,2016
,Contract: ,$0.25,False,,Paid in 1 month ,svg-1,Platform: digital,Vulture,,Rights: All rights,,1000-word,2017
,Contract: Yes,$0.15,False,Little to no reporting,Paid in 6 weeks ,svg-2,Platform: digital,Vulture,Assignment (editor came to you),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",1000,2016
,Contract: ,$0.40,False,Medium reporting,,ng-hide,Platform: digital,Vulture,Assignment (editor came to you),Rights: ,"criticism, review, or arts/entertainment converage",~750,2015
,Contract: ,$150,True,,,ng-hide,Platform: digital,Vulture,,Rights: ,, profile or interview,2013
,Contract: ,$50,True,,,ng-hide,,Vulture,,Rights: ,, blog post,2012
,Contract: ,$150,True,,,ng-hide,,Vulture,,Rights: ,, feature,2012
,Contract: No,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,New Naratif,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,1000,2018
,Contract: Yes,$0.38,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,The Daily Beast,Cold pitch (no pre-existing relationship),Rights: All rights,news story,1200,2018
,Contract: Yes,$0.44,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,The Daily Beast,Solicited pitch (editor asked you to pitch),Rights: All rights,news story,800,2018
,Contract: Yes,$0.18,False,Medium reporting,Paid in 2 months ,svg-1,Platform: digital,The Daily Beast,Referral (you had a connection who connected you to the editor),Rights: All rights,"opinion, editorial, column or essay",2200,2018
,Contract: Yes,$0.35,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,The Daily Beast,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2018
,Contract: Yes,$0.50,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,The Daily Beast,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,blog post,400,2018
,Contract: Yes,$0.33,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,The Daily Beast,Referral (you had a connection who connected you to the editor),Rights: First Serial Rights,,1500-word,2018
,Contract: No,$0.32,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,The Daily Beast,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1100,2017
,Contract: Yes,$0.41,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Daily Beast,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,news story,985,2017
,Contract: Yes,$0.22,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Daily Beast,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,1144,2017
,Contract: Yes,$0.57,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,The Daily Beast,Assignment (editor came to you),Rights: Other / I don't know,blog post,700,2017
,Contract: No,$0.00,False,Heavy/Investigative reporting,Haven't gotten it yet (as of this reporting) ,svg-false,Platform: digital,The Daily Beast,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,900,2017
,Contract: Yes,$0.17,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,The Daily Beast,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,news story,1156,2017
,Contract: ,$0.20,False,,Paid in 1 month ,svg-1,Platform: digital,The Daily Beast,,Rights: All rights,,1500-word,2016
,Contract: No,$0.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,The Daily Beast,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2016
"""Pays after 45 days of publication, direct deposit. Arrived after 55 days. Was offered $500 for first piece and then signed contract stating that ongoing rate, which has also applied to articles written since.
Very respectful editors and staff that treat writers well.""",Contract: Yes,$0.67,False,Medium reporting,,ng-hide,Platform: digital,The Daily Beast,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,news story,~750,2014
,Contract: Yes,$0.30,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,The Daily Beast,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,~1500,2014
,Contract: Yes,$0.47,False,Medium reporting,,ng-hide,Platform: digital,The Daily Beast,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment converage",~750,2013
"""but if you are one of their top people, they pay $500 per piece. How much time it takes/how intensive it is, varies.""",Contract: ,$0.23,False,,,ng-hide,,The Daily Beast,,Rights: ,feature,1500,2013
,Contract: ,$275,True,,,ng-hide,,The Daily Beast,,Rights: ,, feature,2013
,Contract: ,$50,True,,,ng-hide,,The Daily Beast,,Rights: ,,,2013
,Contract: ,$300,True,,,ng-hide,,The Daily Beast,,Rights: ,, feature,2013
,Contract: Yes,$1.00,False,Medium reporting,Paid in 3 months ,svg-2,Platform: print,Dujour,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",700,2016
"""They are extremely new (as in only have been around for few months) and editors are currently paying writers with personal funds. Was told that rates would increase in time, but wasn't too worried about it for an easy essay.""",Contract: No,$0.03,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Intransit,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",1560,2017
,Contract: ,$0.25,False,,Paid in 6 weeks ,svg-2,Platform: print,The New European,,Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2017
"""An event happened in Canada and I found out through a colleague that Daily Mail wanted info on the story. I found a unique story angle through an interview with someone involved in the event. I cold called them and sold them the interview transcript, the person's contact info and some notes from the field. One of their UK reporters followed up with contacts and wrote the story. I asked them to include me in the byline but they didn't.""",Contract: Yes,$0.88,False,Medium reporting,Paid in 2 months ,svg-3,Platform: other,Daily Mail,,Rights: All rights,profile or interview,600,2016
,Contract: No,$1.87,False,Little to no reporting,,ng-hide,Platform: digital,Daily Mail,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",~1500,2014
"""Been trying very politely to extract payment for the 3 months since the 90 days in which I was supposed to get paid. In the meantime, the soliciting editor was fired & replacement is unresponsive. Never reported a publication for this before.""",Contract: Yes,$0.33,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Fender,Assignment (editor came to you),Rights: First Serial Rights,profile or interview,750,2017
,Contract: No,$0.07,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Blavity,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2017
"""The editor I cold pitched was nice, but despite chasing I still haven't seen payment.""","Contract: Verbal or ""handshake"" agreement",$0.02,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Interview Magazine,Cold pitch (no pre-existing relationship),Rights: All rights,profile or interview,1000,2016
"""Despite chasing the accounts department and being promised payment, I have yet to receive a check.""",Contract: No,$0.01,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Interview Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,1800,2016
